customer_id,customer_name,age,gender,city,signup_date,zomato_gold
CUST00001,Aryan Maharaj,58,Male,Delhi,2024-07-30,False
CUST00002,Liam Chaudry,33,Male,Bengaluru,2026-06-01,True
CUST00003,Pahal Balay,52,Male,Kolkata,2023-08-31,True
CUST00004,Tejas Kaul,19,Male,Hyderabad,2025-09-08,True
CUST00005,Rushil Saini,50,Other,Delhi,2024-06-22,True
CUST00006,Arunima Ahuja,59,Other,Kolkata,2024-03-20,True
CUST00007,Harini Mall,46,Other,Pune,2024-03-13,True
CUST00008,Gayathri Chaudry,28,Other,Kolkata,2023-12-07,False
CUST00009,Gunbir Parmer,35,Male,Hyderabad,2024-12-31,False
CUST00010,Caleb Sharaf,24,Male,Kolkata,2025-10-26,True
CUST00011,Kritika Brar,40,Female,Pune,2025-11-19,True
CUST00012,Janaki Handa,47,Other,Mumbai,2026-07-14,False
CUST00013,Chakradev Kari,23,Other,Pune,2024-10-07,False
CUST00014,Viraj Chaudhuri,54,Male,Mumbai,2025-02-25,True
CUST00015,Sudiksha Patla,60,Male,Pune,2024-03-24,True
CUST00016,Isha Kadakia,32,Male,Kolkata,2026-05-22,False
CUST00017,Ekbal Garg,47,Other,Chennai,2025-10-22,True
CUST00018,Nihal Shere,41,Female,Hyderabad,2025-02-24,False
CUST00019,Theodore Nair,59,Male,Bengaluru,2023-10-10,True
CUST00020,Azad Mutti,28,Female,Kolkata,2025-03-30,False
CUST00021,Dominic Kakar,58,Other,Hyderabad,2025-12-13,False
CUST00022,Simon Tata,21,Male,Delhi,2025-03-21,False
CUST00023,Luke Lanka,43,Female,Mumbai,2024-02-17,True
CUST00024,Adya Sangha,54,Other,Chennai,2026-01-07,True
CUST00025,Janaki Kanda,59,Female,Kolkata,2024-02-15,False
CUST00026,Gavin Batta,27,Female,Bengaluru,2024-01-02,True
CUST00027,Nathaniel Sami,53,Other,Pune,2026-01-27,False
CUST00028,Lekha Raj,55,Female,Chennai,2026-01-26,True
CUST00029,Zayan Apte,26,Other,Jaipur,2026-06-06,True
CUST00030,Amara Oak,21,Male,Bengaluru,2024-01-05,True
CUST00031,Radhika Dugar,45,Other,Mumbai,2025-06-19,False
CUST00032,Adya Tella,42,Other,Jaipur,2024-04-18,False
CUST00033,Chanchal Tripathi,53,Male,Mumbai,2026-02-16,False
CUST00034,Michael Prakash,59,Female,Mumbai,2024-03-22,False
CUST00035,Ekiya Suresh,45,Male,Jaipur,2023-08-15,True
CUST00036,Janani Mohanty,34,Other,Bengaluru,2024-07-21,True
CUST00037,Wridesh Brar,58,Female,Hyderabad,2023-11-26,True
CUST00038,Ekapad Walia,41,Male,Delhi,2024-01-27,False
CUST00039,Vaishnavi Gandhi,49,Male,Mumbai,2024-08-30,False
CUST00040,Siddharth Zacharia,37,Male,Delhi,2026-06-21,True
CUST00041,Devika Rastogi,54,Male,Mumbai,2026-05-24,False
CUST00042,Raksha Varughese,22,Other,Bengaluru,2025-06-16,True
